Year,Month,Material Description,Quantity
2018,6,542/0 CLOSE LATCH SUB ASSEMBLY,384
2018,6,543/0 TRIGGER WHEEL,1000
2018,6,553/0 PLATE PRESSURE CLUTCH,6000
2018,6,558/0 LOCK WASHER BRG NUT,30240
2018,6,560/0 VALVE PLATE CR06,2200
2018,6,565/0 FACE  DRIVE,74360
2018,6,569/0  VALVE  PLATE,40000
2018,6,"572/0 GEAR COMP, STARTER CLUTCH",12000
2018,6,"578/0 LEVER,  REVERSE GEAR SHIFT",10000
2018,6,"579/0 BRACKET,  REVERSE GEAR SHIFT",12000
2018,6,589/0 SPROCKET,3600
2018,6,590/0 PAWL,150000
2018,6,591/0 PAWL GEAR SHIFT,115000
2018,6,592/0 WHEEL STARTER,2400
2018,6,593/0 GEAR STARTER CLUTCH,8240
2018,6,"595/0 LOCK WASHER BEARING HUB, 6.5T P-II",13032
2018,6,602/0 SPROCKET CAM SHAFT-4.52 THK,21960
2018,6,605/0 COVER OIL PUMP,3744
2018,6,606/0 WHEEL STARTER,33000
2018,6,607/0 WHEEL  STARTER,36600
2018,6,614/0 SEGMENT,73200
2018,6,760/0 RETAINER PLATE,4000
2018,6,762/0 PRESSURE PLATE,4000
2018,6,764/1 PRESSURE PLATE(R/G),5000
2018,6,793/0 PLATE SYNC HUB,4000
2018,6,813/2 LEVER SHIFT - 1,27500
2018,6,814/2 LEVER SHIFT - 2,66000
2018,6,816/1 PLATE SHIFT DRUM STOPPER,545300
2018,6,820/3 HOLDER CLUTCH,28800
2018,6,863/0 PLATE CLUTCH,18000
2018,6,877/0 SPROCKET CAM,49440
2018,6,880/0 STOPR COMP.GR SHIFT DRUM,113500
2018,6,881/0 SPROCKET CAM,105840
2018,6,884/1 RATCHET PLATE,170000
2018,6,890/0 plate clutch with Planish.(k1),100000
2018,6,893/0 STOPPER LEVER ASSY.,84000
2018,6,895/0 LEVER SHIFT 1.,46000
2018,6,896/0 JAW FINGER VERTICAL,80000
2018,6,914/0 SPROCKET  CAM,15120
2018,6,915/0 SPROCKET STARTING,236000
2018,6,918/M SPROCKET,30480
2018,6,920/0 LATCH,15000
2018,6,921/0 PLATE,38360
2018,6,"923/0 ,KEY PACKING",105000
2018,6,924/1 SPROCKET CAM,515100
2018,6,925/0 SPROCKET,33600
2018,6,930/0 KEY,30000
2018,6,935/0 STOPPER LEVER ASSY.,6000
2018,6,936/0 PLATE,65000
2018,6,937/0 SPACER WASHER,45000
2018,6,938/F PLATE VALVE FRONT 1W,3840
2018,6,938/R PLATE VALVE  REAR-1W,3840
2018,6,"941/0 Washer, 5th Sync Hub",36000
2018,6,"943/1 , STOPPER PLATE",7000
2018,6,945/0 STOPPER LEVER ASSY.,7200
2018,6,947/0 Stopper Comp Gear Shift Cam,12000
2018,6,949/0 STOPPER LEVER ASSY.,5020
2018,6,950/0 LEVER SHIFT 1,8000
2018,6,951/0 LEVER SHIFT 2,4000
2018,6,952/0 PLATE CLUTCH,42000
2018,6,EXP63 NABE,5000
2018,6,EXP64A NABE,5000
2018,7,037/A CONTACT FINGER,7250
2018,7,037/B CONTACT FINGER,35000
2018,7,1000/0 WHEEL STARTER,9500
2018,7,1003/0 FACE DRIVE,37600
2018,7,1005/0 GEAR STARTER CLUTCH,2160
2018,7,1007/0 STOPPER LEVER ASSY.,4000
2018,7,1010/0 ROTOR SENSOR,320
2018,7,1012/0 GEAR STARTER CLUTCH,16668
2018,7,1013/F - F DISCHARGE VALVE PLATE 1W,2400
2018,7,1013/R - R DISCHARGE VALVE PLATE 1W,2400
2018,7,1015/0 GEAR STARTER CLUTCH,38980
2018,7,1017/0 CRANK SENSOR TARGET WHEEL,5
2018,7,162/0 VALVE SPRING DISC,11200
2018,7,256/1 CONTACT FINGER,60000
2018,7,337/4 HOLDER,100416
2018,7,487/0 PLATE VALVE INLET TS5,930
2018,7,488/0 PLATE VALVE DISC TS5,900
2018,7,490/0 PRESSURE PLATE 4.5MM,3000
2018,7,492/0 PRESSURE PLATE 6.5MM,8000
2018,7,"499/F1 F DISCHARGE VALVE PLATE, 1W",25200
2018,7,"499/R1 R DISCHARGE VALVE PLATE, 1W",25200
2018,7,500/0 THRUST WASHER,15000
2018,7,503/0 TONGUE SPACER,44000
2018,7,529/F1 VALVE PLATE_F (1W),64800
2018,7,529/R1 VALVE PLATE_R (1W),64800
2018,7,531/0 SPROCKET CRANK SHAFT-4.38 THK,28500
2018,7,542/0 CLOSE LATCH SUB ASSEMBLY,720
2018,7,543/0 TRIGGER WHEEL,1980
2018,7,553/0 PLATE PRESSURE CLUTCH,5040
2018,7,558/0 LOCK WASHER BRG NUT,24120
2018,7,560/0 VALVE PLATE CR06,4400
2018,7,565/0 FACE  DRIVE,77480
2018,7,569/0  VALVE  PLATE,62000
2018,7,"572/0 GEAR COMP, STARTER CLUTCH",10800
2018,7,"578/0 LEVER,  REVERSE GEAR SHIFT",14600
2018,7,"579/0 BRACKET,  REVERSE GEAR SHIFT",19200
2018,7,589/0 SPROCKET,3600
2018,7,590/0 PAWL,170000
2018,7,591/0 PAWL GEAR SHIFT,80000
2018,7,592/0 WHEEL STARTER,2400
2018,7,593/0 GEAR STARTER CLUTCH,7920
2018,7,"595/0 LOCK WASHER BEARING HUB, 6.5T P-II",15984
2018,7,602/0 SPROCKET CAM SHAFT-4.52 THK,29999
2018,7,605/0 COVER OIL PUMP,3208
2018,7,606/0 WHEEL STARTER,45000
2018,7,607/0 WHEEL  STARTER,34992
2018,7,614/0 SEGMENT,95000
2018,7,760/0 RETAINER PLATE,1600
2018,7,762/0 PRESSURE PLATE,2400
2018,7,764/1 PRESSURE PLATE(R/G),1600
2018,7,793/0 PLATE SYNC HUB,15000
2018,7,813/2 LEVER SHIFT - 1,18000
2018,7,814/2 LEVER SHIFT - 2,51000
